STATE,YEAR,NAME,TOPIC,TOPIC #2,Title,RELEVANT TEXT,DESCRIPTION,URL
Florida,2000,Fla. Stat. 445.046,Legislative Intent,,Establishment of a network access point,"The state actively supports efforts that enhance the information technology industry in this state, particularly those efforts that increase broadband technology. A critical initiative to enhance this industry in this state is determined to be the development of a network access point, which is defined to be a carrier-neutral, public-private Internet traffic exchange point. The state encourages private information technology businesses to forge partnerships to develop a network access point in this state. Moreover, the state recognizes the importance of a network access point that addresses the needs of small information technology businesses.","Addresses state support to enhance the information technology industry in the state, including efforts that increase broadband technology.  Focuses on developing a network access point to achieve this goal and seeks to encourage private information technology businesses to partner to develop the network access point. ",http://www.leg.state.fl.us/statutes/index.cfm?mode=View%20Statutes&SubMenu=1&App_mode=Display_Statute&Search_String=broadband&URL=0400-0499/0445/Sections/0445.046.html
Georgia,2018,Ga. Code Ann. 30-70-6,Broadband Plan,,Promotion of deployment of broadband services by broadband services providers,"(a)  As used in this Code section, the terms ""broadband services"" and ""broadband services provider"" shall have the same meanings as provided in Code Section 50-40-1. (b)  The governing bodies of municipalities and counties shall provide in any comprehensive plan for the promotion of the deployment of broadband services by broadband services providers.",Requires that local comprehensive plans address broadband deployment. ,https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=8cba13ab-5d24-4b02-b14b-65d29f0830a2&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-9JB0-004D-80B0-00008-00&pddocid=urn%3AcontentItem%3A5STN-9JB0-004D-80B0-00008-00&pdcontentcomponentid=234186&pdteaserkey=sr0&pditab=allpods&ecomp=-_n8kkk&earg=sr0&prid=dfa785d6-6794-439c-b845-e644cd50485c
Georgia,,Ga. Code Ann. 32-2-2,Rights-of-way,ROW - Other,Powers and duties of department generally,"(20)  The department, in consultation with the Georgia Technology Authority, shall have the authority to plan for, establish, and implement a long-term policy with regard to the use of the rights of way of the interstate highways and state owned roads for the establishment, development, and maintenance of the deployment of broadband services and other emerging communications technologies throughout the state by public or private providers, or both. The department shall be authorized to promote and encourage the use of such rights of way of the interstate highways and state owned roads for such purposes to the extent feasible and prudent. ","Gives the Department of Transportation, in consultation with the Georgia Technology Authority, the authority to create and implement a long-term strategy for the use of interstate highways and state-owned rights of way for deployment of broadband and other emerging communications technologies. Allows the department to promote the use of interstate highways and state-owned roads for broadband deployment. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=7dd90dbc-caba-43ac-8f6f-cce0165cc95e&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-9KC0-004D-811W-00008-00&pddocid=urn%3AcontentItem%3A5STN-9KC0-004D-811W-00008-00&pdcontentcomponentid=234186&pdteaserkey=sr21&pditab=allpods&ecomp=-_n8kkk&earg=sr21&prid=ee0951d5-9143-46f6-ba61-99228c5a71ff
Georgia,,Ga. Code Ann. 32-2-2,Fund - Other,,Powers and duties of department generally,"All net revenues from the use, lease, or other activities in such rights of way in excess of any project costs, that are not subject to the jurisdiction of the Federal Highway Administration or that are not otherwise restricted by any federal laws, rules, or regulations, shall be paid into the general fund of the state treasury subject to any restrictions imposed by the Federal Highway Administration. It is the intention of the General Assembly, subject to the appropriation process, that a portion of the amount so deposited into the general fund of the state treasury be appropriated each year to programs to be administered by the Georgia Technology Authority, the Department of Community Affairs, and other state agencies as provided in Chapter 40 of Title 50 to be used to promote and provide broadband services throughout the state.","Allows the department of transportation to promote the use of interstate highways and state-owned roads for broadband deployment and directs all funds from such use that are not subject to the jurisdiction of FHWA or otherwise restricted by federal laws to the general fund to be used as defined in Title 50, Chapter 40 for the deployment of broadband services. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=7dd90dbc-caba-43ac-8f6f-cce0165cc95e&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-9KC0-004D-811W-00008-00&pddocid=urn%3AcontentItem%3A5STN-9KC0-004D-811W-00008-00&pdcontentcomponentid=234186&pdteaserkey=sr21&pditab=allpods&ecomp=-_n8kkk&earg=sr21&prid=ee0951d5-9143-46f6-ba61-99228c5a71ff
Georgia,2014,Ga. Code Ann. 36-66B-1 et seq.,Wireless facilities,,Mobile Broadband Infrastructure Leads to Development (BILD) Act.,"(a)  The General Assembly finds that the enactment of this chapter is necessary to: (1)  Ensure the safe and efficient integration of facilities necessary for the provision of broadband and other advanced wireless communication services throughout this state; (2)  Ensure the ready availability of reliable wireless communication services to the public to support personal communications, economic development, and the general welfare; (3)  Encourage where feasible the modification or collocation of wireless facilities on existing wireless support structures over the construction of new wireless support structures in the deployment or expansion of commercial wireless networks; and (4)  Allow the deployment of critical wireless infrastructure to ensure that first responders can provide for the health and safety of all residents of Georgia. (b)  While recognizing and confirming the purview of local governments to exercise zoning, land use, and permitting authority within their territorial boundaries with regard to the location, construction, and modification of wireless communication facilities, it is the intent of this chapter to establish procedural standards for the exercise of such authority so as to streamline and facilitate the construction, collocation, or modification of such facilities, including the placement of new or additional wireless facilities on existing wireless support structures. It is not the intent of this chapter to limit or preempt the scope of a local government's review of zoning, land use, or permitting applications for the siting of wireless facilities or wireless support structures or to require a local government to exercise its zoning power.","Addresses the establishment of procedural standards to streamline construction, collocation, and modification of wireless facilities.  Sets the intent to allow modification or collocation without additional zoning or land use review.  Defines requirements under which modifications or colocations will not be subject to additional zoning review.  Defines review timelines for applications and conditions of approval. Does not allow local governments to charge zoning, permitting, or inspection fees in excess of $500, or to charge rental, license, or other fees above the fair market value. ",https://advance.lexis.com/container/?pdmfid=1000516&crid=d4261833-6e4e-4113-96ce-40d77374b7e6&func=LN.Advance.ContentView.getFullToc&nodeid=ABKAAEAAK&typeofentry=Breadcrumb&config=00JAAzZDgzNzU2ZC05MDA0LTRmMDItYjkzMS0xOGY3MjE3OWNlODIKAFBvZENhdGFsb2fcIFfJnJ2IC8XZi1AYM4Ne&action=publictoc&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-B0G0-004D-807G-00008-00&pdtocfullpath=%2Fshared%2Ftableofcontents%2Furn%3AcontentItem%3A7YJ8-39M0-Y905-D000-00008-00&ecomp=vs6fkkk&prid=eb6c6f58-3dca-4e9f-95ca-c8796c34be82
Georgia,2006,Ga. Code Ann. 46-5-221,Definition - Broadband,Speed 1,Definitions,"(1)  ""Broadband service"" means a service that consists of the capability to transmit at a rate not less than 200 kilobits per second in either the upstream or downstream direction and in combination with such service provide either: (A)  Access to the Internet; or (B)  Computer processing, information storage, or protocol conversion. For the purposes of this article, broadband service does not include any information content or service applications provided over such access service nor any intrastate service that was subject to a tariff in effect as of September 1, 2005.","Defines broadband service as a service that transmits data at a rate of at least 200 kbps and provides either access to the internet of computer processing, information storage, or protocol conversion. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=22123dff-0c02-4236-b5ce-d8664b379b8e&nodeid=ABUAAJAAIAAD&nodepath=%2FROOT%2FABU%2FABUAAJ%2FABUAAJAAI%2FABUAAJAAIAAD&level=4&haschildren=&populated=false&title=%C2%A7+46-5-221.+Definitions&indicator=true&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-95D0-004D-811G-00008-00&ecomp=-kL8kkk&prid=497ad0f4-e4cf-4cf7-9c75-fa4db39c6c69
Georgia,2010,Ga. Code Ann. 46-5-222,Regulatory Authority,,"Commission has no authority over setting of rates or terms and conditions for the offering of broadband service, voice over Internet protocol, or wireless service; limitations","(a)  The Public Service Commission shall not have any jurisdiction, right, power, authority, or duty to impose any requirement or regulation relating to the setting of rates or terms and conditions for the offering of broadband service, VoIP, or wireless services. (b)  This Code section shall not be construed to affect: (1)  State laws of general applicability to all businesses, including, without limitation, consumer protection laws and laws relating to restraint of trade; (2)  Any authority of the Public Service Commission with regard to consumer complaints; or (3)  Any authority of the Public Service Commission to act in accordance with federal laws or regulations of the Federal Communications Commission, including, without limitation, jurisdiction granted to set rates, terms, and conditions for access to unbundled network elements and to arbitrate and enforce interconnection agreements. (c)  Except as otherwise expressly provided in this Code section, nothing in this Code section shall be construed to restrict or expand any other authority or jurisdiction of the Public Service Commission.",Defines broadband services as outside the jurisdiction of the Public Service Commission. ,https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=5f596f56-3ca6-4547-90cd-13ed80f399c8&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-95D0-004D-811H-00008-00&pddocid=urn%3AcontentItem%3A5STN-95D0-004D-811H-00008-00&pdcontentcomponentid=234186&pdteaserkey=sr6&pditab=allpods&ecomp=-_n8kkk&earg=sr6&prid=5d0848e7-c53b-4da9-bce8-86c16126a194
Georgia,2018,Ga. Code Ann. 50-40-1,Definition - Broadband,Speed 3,Defintions,"(2)  ""Broadband services"" means a wired or wireless terrestrial service that consists of the capability to transmit at a rate of not less than 25 megabits per second in the downstream direction and at least 3 megabits per second in the upstream direction to end users and in combination with such service provides: (A)  Access to the Internet; or (B)  Computer processing, information storage, or protocol conversion.","Defines broadband as wired or wireless terrestrial service that can transmit at a rate of at least 25mbps/3mbps and provides access to the internet or computer processing, information storage, or protocol conversion. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=f63a7868-f1d0-414d-826e-fb583ddd9db2&nodeid=ABYABTAACAAB&nodepath=%2FROOT%2FABY%2FABYABT%2FABYABTAAC%2FABYABTAACAAB&level=4&haschildren=&populated=false&title=%C2%A7+50-40-1.+Definitions&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84HY-00008-00&ecomp=-kL8kkk&prid=f31d8ddc-d8fc-49f2-9976-e80303d768b4
Georgia,2018,Ga. Code Ann. 50-40-1,Definition - Unserved,,Defintions,"(11)  ""Unserved area"" means a census block in which broadband services are not available to 20 percent or more of the locations as determined by the Department of Community Affairs pursuant to Article 2 of this chapter.",Defines a census block as one where broadband service is not available to 20 percent or more of the locations as determined by the Department of Community Affairs. ,https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=f63a7868-f1d0-414d-826e-fb583ddd9db2&nodeid=ABYABTAACAAB&nodepath=%2FROOT%2FABY%2FABYABT%2FABYABTAAC%2FABYABTAACAAB&level=4&haschildren=&populated=false&title=%C2%A7+50-40-1.+Definitions&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84HY-00008-00&ecomp=-kL8kkk&prid=f31d8ddc-d8fc-49f2-9976-e80303d768b4
Georgia,2018,Ga. Code Ann. 50-40-2,Agency,,Coordination of state-wide efforts; development of policies and programs; annual reporting and required information; cooperation between state agencies,"(a)  The Georgia Technology Authority is authorized and directed to establish and implement such policies and programs as are necessary to coordinate state-wide efforts to promote and facilitate deployment of broadband services and other emerging communications technologies throughout the state. Such policies and programs may include, but are not limited to, the following: (1)  A written state-wide broadband services deployment plan and the development of recommendations for the promotion and implementation of such a plan; (2)  Technical support and advisory assistance to state agencies, including, but not limited to, the Department of Community Affairs and the OneGeorgia Authority, in developing grant programs, designation programs, and other programs to promote the deployment of broadband services and other emerging communications technologies; (3)  A periodic analysis performed in conjunction with the State Properties Commission of any state assets, including, but not limited to, real property and structures thereon, that may be leased or otherwise utilized for broadband services deployment; and (4)  Coordination between state agencies, local governments, industry representatives, community organizations, and other persons that control access to resources, such as facilities and rights of way, that may be used for the deployment of broadband services and other emerging communications technologies, that apply for or receive federal funds for the deployment of broadband services and other emerging communications technologies, and that promote economic and community development. (b)  The Georgia Technology Authority shall submit copies of an annual report to the Lieutenant Governor, the Speaker of the House of Representatives, and the Governor regarding the policies and programs established by the authority as provided in subsection (a) of this Code section. Such report shall specifically include information as to the status of attainment of state-wide deployment of broadband services and other emerging communications technologies and industry and technology trends in broadband services and other emerging communications technologies. The Georgia Technology Authority shall also provide such report to all members of the General Assembly; provided, however, that the authority shall not be required to distribute copies of the report to the members of the General Assembly but shall notify the members of the availability of such report in the manner which it deems to be most effective and efficient. Furthermore, such report may be a part of or submitted in conjunction with the report required to be submitted by the Department of Community Affairs pursuant to Code Section 50-40-84. (c)  All state agencies shall cooperate with the Georgia Technology Authority and its designated agents by providing requested information to assist in the development and administration of policies and programs and the annual report provided for in this Code section. (d)  The Georgia Technology Authority shall promulgate any policies necessary to effectuate the provisions of this Code section.","Authorizes the Georgia Technology Authority to establish and implement policies and programs necessary to coordinate statewide efforts to promote and facilitate broadband deployment, including a broadband deployment plan, technical support and advisory services to state agencies, analysis of state assets, and coordination between state agencies, local governments, industry, and community organizations. Requires the Authority to submit an annual report to the Lieutenant Governor, Speaker of the House, and Governor on the Authority’s policies and programs, including the status of broadband deployment and deployment of other emerging communications technologies. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=d961fe74-4114-47c8-94e7-6de98835c00d&nodeid=ABYABTAACAAC&nodepath=%2FROOT%2FABY%2FABYABT%2FABYABTAAC%2FABYABTAACAAC&level=4&haschildren=&populated=false&title=%C2%A7+50-40-2.+Coordination+of+state-wide+efforts%3B+development+of+policies+and+programs%3B+annual+reporting+and+required+information%3B+cooperation+between+state+agencies&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84J0-00008-00&ecomp=-kL8kkk&prid=f31d8ddc-d8fc-49f2-9976-e80303d768b4
Georgia,2018,Ga. Code Ann. 50-40-2,Broadband Plan,,Coordination of state-wide efforts; development of policies and programs; annual reporting and required information; cooperation between state agencies,"(a)  The Georgia Technology Authority is authorized and directed to establish and implement such policies and programs as are necessary to coordinate state-wide efforts to promote and facilitate deployment of broadband services and other emerging communications technologies throughout the state. Such policies and programs may include, but are not limited to, the following: (1)  A written state-wide broadband services deployment plan and the development of recommendations for the promotion and implementation of such a plan; (2)  Technical support and advisory assistance to state agencies, including, but not limited to, the Department of Community Affairs and the OneGeorgia Authority, in developing grant programs, designation programs, and other programs to promote the deployment of broadband services and other emerging communications technologies; (3)  A periodic analysis performed in conjunction with the State Properties Commission of any state assets, including, but not limited to, real property and structures thereon, that may be leased or otherwise utilized for broadband services deployment; and (4)  Coordination between state agencies, local governments, industry representatives, community organizations, and other persons that control access to resources, such as facilities and rights of way, that may be used for the deployment of broadband services and other emerging communications technologies, that apply for or receive federal funds for the deployment of broadband services and other emerging communications technologies, and that promote economic and community development. (b)  The Georgia Technology Authority shall submit copies of an annual report to the Lieutenant Governor, the Speaker of the House of Representatives, and the Governor regarding the policies and programs established by the authority as provided in subsection (a) of this Code section. Such report shall specifically include information as to the status of attainment of state-wide deployment of broadband services and other emerging communications technologies and industry and technology trends in broadband services and other emerging communications technologies. The Georgia Technology Authority shall also provide such report to all members of the General Assembly; provided, however, that the authority shall not be required to distribute copies of the report to the members of the General Assembly but shall notify the members of the availability of such report in the manner which it deems to be most effective and efficient. Furthermore, such report may be a part of or submitted in conjunction with the report required to be submitted by the Department of Community Affairs pursuant to Code Section 50-40-84. (c)  All state agencies shall cooperate with the Georgia Technology Authority and its designated agents by providing requested information to assist in the development and administration of policies and programs and the annual report provided for in this Code section. (d)  The Georgia Technology Authority shall promulgate any policies necessary to effectuate the provisions of this Code section.","Authorizes the Georgia Technology Authority to establish and implement policies and programs necessary to coordinate statewide efforts to promote and facilitate broadband deployment, including a broadband deployment plan, technical support and advisory services to state agencies, analysis of state assets, and coordination between state agencies, local governments, industry, and community organizations. Requires the Authority to submit an annual report to the Lieutenant Governor, Speaker of the House, and Governor on the Authority’s policies and programs, including the status of broadband deployment and deployment of other emerging communications technologies. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=d961fe74-4114-47c8-94e7-6de98835c00d&nodeid=ABYABTAACAAC&nodepath=%2FROOT%2FABY%2FABYABT%2FABYABTAAC%2FABYABTAACAAC&level=4&haschildren=&populated=false&title=%C2%A7+50-40-2.+Coordination+of+state-wide+efforts%3B+development+of+policies+and+programs%3B+annual+reporting+and+required+information%3B+cooperation+between+state+agencies&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84J0-00008-00&ecomp=-kL8kkk&prid=f31d8ddc-d8fc-49f2-9976-e80303d768b4
Georgia,2018,Ga. Code Ann. 50-40-20 et seq. ,Mapping,,Area Identification,"50-40-20. The Department of Community Affairs shall determine those areas in the state that are served areas and unserved areas and shall publish such findings. 50-40-21. (a)  On or before January 1, 2019, the Department of Community Affairs shall publish on its website a map showing the unserved areas in the state. (b)  The Department of Community Affairs shall consult with the Federal Communications Commission in determining if a map showing the unserved areas, as determined by the Department of Community Affairs, exists. If on or before July 1, 2018, the Department of Community Affairs determines that such a map does not exist then such a map shall be created by the Department of Community Affairs or an agent designated by the Department of Community Affairs. Such agent may include the Georgia Technology Authority or other entities and individuals that are determined by the Department of Community Affairs to possess the necessary prerequisites to assist the department in creating such a map. Any such map created by the Department of Community Affairs shall take into consideration any information received pursuant to subsections (c) and (d) of this Code section and Code Section 50-40-22. If the Department of Community Affairs determines that such a map does exist that was not created by the Department of Community Affairs or an agent designated by the Department of Community Affairs, then its website may link to such existing map in lieu of republishing such map. (c)  All local governments shall cooperate with the Department of Community Affairs and any agent designated by the Department of Community Affairs by providing requested information as to addresses and locations of broadband services and other emerging communications technologies within their jurisdictions. (d)  The Department of Community Affairs and any agent designated by the Department of Community Affairs may request information from all broadband services providers in the state in developing a map or making the determination as to the percentage of locations within a census block to which broadband services are not available. 50-40-22. Petition contesting maps (a)  An entity that is authorized to apply for or that obtains a certificate of authority pursuant to Code Section 45-5-163, a broadband services provider, or a political subdivision may file a petition with the Department of Community Affairs along with data specifying locations or census blocks which the petitioner alleges should be designated differently than as shown on the map published on the website of the Department of Community Affairs pursuant to Code Section 50-40-21. Upon receipt of such petition and data, the Department of Community Affairs shall provide notice of the petition on the Department of Community Affairs' website and shall notify all broadband services providers furnishing broadband services in such census block or any census block in which any such locations are positioned. Such broadband services providers shall have 45 days after the date such notice is sent to furnish information to the Department of Community Affairs showing whether the locations that are the subject of the petition currently have broadband services available. The Department of Community Affairs shall determine whether the designation of such locations or census blocks should be changed and shall issue such determination within 75 days of the date the notice is sent to the broadband services provider. (b)  Any determination made by the Department of Community Affairs pursuant to this Code section shall be final and not subject to review and any such determination shall not be a contested case under Chapter 13 of Title 50, ""Georgia Administrative Procedure Act.""","Directs the Department of Community Affairs to determine served and unserved areas and publish the findings.  The Department must publish a map on its website by January 1, 2019 that displays the unserved area.  Provides direction on how the map should be created, including the option to link to an existing map if such a map is determined to exist. Requires local governments to provide requested information and allows the Department to request information from all broadband service providers in the state.  Establishes a petition process for contesting maps. ",https://advance.lexis.com/container/?pdmfid=1000516&crid=cdc9f114-0586-451e-9ad1-f6363789079d&func=LN.Advance.ContentView.getFullToc&nodeid=ABYABTAAD&typeofentry=Breadcrumb&config=00JAAzZDgzNzU2ZC05MDA0LTRmMDItYjkzMS0xOGY3MjE3OWNlODIKAFBvZENhdGFsb2fcIFfJnJ2IC8XZi1AYM4Ne&action=publictoc&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84J2-00008-00&pdtocfullpath=%2Fshared%2Ftableofcontents%2Furn%3AcontentItem%3A7YJ8-39M0-Y905-D000-00008-00&ecomp=vs6fkkk&prid=b23ec06c-34ea-421a-8688-692abfd06c71
Georgia,2018,Ga. Code Ann. 50-40-20 et seq. ,Agency,,Area Identification,"50-40-20. The Department of Community Affairs shall determine those areas in the state that are served areas and unserved areas and shall publish such findings. 50-40-21. (a)  On or before January 1, 2019, the Department of Community Affairs shall publish on its website a map showing the unserved areas in the state. (b)  The Department of Community Affairs shall consult with the Federal Communications Commission in determining if a map showing the unserved areas, as determined by the Department of Community Affairs, exists. If on or before July 1, 2018, the Department of Community Affairs determines that such a map does not exist then such a map shall be created by the Department of Community Affairs or an agent designated by the Department of Community Affairs. Such agent may include the Georgia Technology Authority or other entities and individuals that are determined by the Department of Community Affairs to possess the necessary prerequisites to assist the department in creating such a map. Any such map created by the Department of Community Affairs shall take into consideration any information received pursuant to subsections (c) and (d) of this Code section and Code Section 50-40-22. If the Department of Community Affairs determines that such a map does exist that was not created by the Department of Community Affairs or an agent designated by the Department of Community Affairs, then its website may link to such existing map in lieu of republishing such map. (c)  All local governments shall cooperate with the Department of Community Affairs and any agent designated by the Department of Community Affairs by providing requested information as to addresses and locations of broadband services and other emerging communications technologies within their jurisdictions. (d)  The Department of Community Affairs and any agent designated by the Department of Community Affairs may request information from all broadband services providers in the state in developing a map or making the determination as to the percentage of locations within a census block to which broadband services are not available. 50-40-22. Petition contesting maps (a)  An entity that is authorized to apply for or that obtains a certificate of authority pursuant to Code Section 45-5-163, a broadband services provider, or a political subdivision may file a petition with the Department of Community Affairs along with data specifying locations or census blocks which the petitioner alleges should be designated differently than as shown on the map published on the website of the Department of Community Affairs pursuant to Code Section 50-40-21. Upon receipt of such petition and data, the Department of Community Affairs shall provide notice of the petition on the Department of Community Affairs' website and shall notify all broadband services providers furnishing broadband services in such census block or any census block in which any such locations are positioned. Such broadband services providers shall have 45 days after the date such notice is sent to furnish information to the Department of Community Affairs showing whether the locations that are the subject of the petition currently have broadband services available. The Department of Community Affairs shall determine whether the designation of such locations or census blocks should be changed and shall issue such determination within 75 days of the date the notice is sent to the broadband services provider. (b)  Any determination made by the Department of Community Affairs pursuant to this Code section shall be final and not subject to review and any such determination shall not be a contested case under Chapter 13 of Title 50, ""Georgia Administrative Procedure Act.""","Directs the Department of Community Affairs to determine served and unserved areas and publish the findings.  The Department must publish a map on its website by January 1, 2019 that displays the unserved area.  Provides direction on how the map should be created, including the option to link to an existing map if such a map is determined to exist. Requires local governments to provide requested information and allows the Department to request information from all broadband service providers in the state.  Establishes a petition process for contesting maps. ",https://advance.lexis.com/container/?pdmfid=1000516&crid=cdc9f114-0586-451e-9ad1-f6363789079d&func=LN.Advance.ContentView.getFullToc&nodeid=ABYABTAAD&typeofentry=Breadcrumb&config=00JAAzZDgzNzU2ZC05MDA0LTRmMDItYjkzMS0xOGY3MjE3OWNlODIKAFBvZENhdGFsb2fcIFfJnJ2IC8XZi1AYM4Ne&action=publictoc&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84J2-00008-00&pdtocfullpath=%2Fshared%2Ftableofcontents%2Furn%3AcontentItem%3A7YJ8-39M0-Y905-D000-00008-00&ecomp=vs6fkkk&prid=b23ec06c-34ea-421a-8688-692abfd06c71
Georgia,2018,Ga. Code. Ann. 50-40-40,Promotional ,,Certification as broadband ready community; requirements for certification,"(a)  A political subdivision that has a comprehensive plan that includes the promotion of the deployment of broadband services, as required pursuant to Code Sections 36-70-6 and 50-8-7.1, may apply to the Department of Community Affairs for certification as a broadband ready community. The department shall by rules and regulations prescribe the form and manner for making an application. The department shall prescribe by rules and regulations a process for public notice and comment on an application for a period of at least 30 days after such application is received, except that such process shall not apply to an application by a political subdivision that enacts a model ordinance developed by the department under Code Section 50-40-41. (b)  The department shall approve an application and certify a political subdivision as a broadband ready community if the department determines that such political subdivision has enacted an ordinance that complies with Code Section 50-40-41. If the process for public notice and comment applies to an application, the department shall, before approving such application, consider any public comments made regarding such application.","Allows any political subdivision with a comprehensive plan that addresses broadband deployment to apply for certification as a broadband ready community through the Department of Community Affairs.  Directs the department to prescribe rules and regulations for broadband ready community applications, including public notice and comments.  If a political subdivision has enacted the model ordinance as developed by the department, the application will be approved and the community will be certified as a broadband ready community with requirements for public notice and comments. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=8d58cf1e-26e5-418f-815e-2ecf72b795b5&nodeid=ABYABTAAEAAB&nodepath=%2FROOT%2FABY%2FABYABT%2FABYABTAAE%2FABYABTAAEAAB&level=4&haschildren=&populated=false&title=%C2%A7+50-40-40.+Certification+as+broadband+ready+community%3B+requirements+for+certification&config=00JAA1MDBlYzczZi1lYjFlLTQxMTgtYWE3OS02YTgyOGM2NWJlMDYKAFBvZENhdGFsb2feed0oM9qoQOMCSJFX5qkd&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A5STN-BBT0-004D-84J5-00008-00&ecomp=-kL8kkk&prid=a9ca8859-af58-4a5d-9a3c-2cfb059289e1
